text,polarity,sentiment
hope vaccine stop coronavirus reach everyone pfizerbiontech nhsstaff covid19 grateful,0,Neutral
got point pfizerbiontech pfizervaccine,0,Neutral
feeling grateful privileged included pfizerbiontech vaccine rollout svuh thank,0,Neutral
day 1 postshot 2 pfizerbiontech vaccine nothing report except cells busy bees thisisourshot,0.1,Positive
got second dose vaccine pfizerbiontech pfizervaccine pfizercovidvaccine frontlineheroes,0,Neutral
feel privileged received first dose pfizerbiontech covid19 vaccination efficient,0.25,Positive
philippines still expecting pfizer mrna vaccine pfizerbiontech ph govt youre dre,0,Neutral
ill getting 2nd dose pfizerbiontech vaccine 2 days hope itll smooth 1st dose,-0.03333333333,Negative
must say iownhs fantastic job vaccination centre got dose pfizerbiontech proud part,0.6,Positive
tunisia ministryofhealth pfizerbiontech pfizer covid19 pfizer vaccine authorised use tunisia v,0,Neutral
covid pfizerbiontech vaccine second dose get vaccinationcovid fight covid19 thanks hospital system,0.1,Positive
better sorry forgot update yesterday 72hourcheck shot2done covid19 pfizerbiontech vaccinessavelives signingofffornow,0,Neutral
great day covidvaccination covid19 frontlineworkers pfizerbiontech,0.8,Positive
1st dose big thanks nhskentchft whole process sheppey community hospital effortless staff,0.1333333333,Positive
2nd dose ourbestshot covidvaccine pfizerbiontech,0,Neutral
oh god im actually getting pfizer vaccine thursday real dreaming covid19,0.1,Positive
pfizerbiontechs covid19 vaccine appeared work key mutation highly transmissible new variants,0.09878787879,Positive
thanks wonderful nurse vhk nhsfife quick easy comfortable process today barely felt,0.4027777778,Positive
dose 1 pfizerbiontech covidvaccine igottheshot,0,Neutral
mtwnhs well organised vaccine clinic today thank nhs vaccines maidstonehospital pfizerbiontech,0,Neutral
latest covidvaccine data updates interesting trends available,0.4666666667,Positive
second dose pfizer vaccine done pfizercovidvaccine pfizerbiontech,0,Neutral
pfizerbiontech vaccine iran,0,Neutral
felt sitting anaphylactic monitoring 15min wait party second dose pfizerbiontech,0,Neutral
skysportsboxing macaulaymcgowan couldnt find gif use one mate mood 88 year old,0.1,Positive
post covid shot day 1 feel like mild hangover otherwise alive awake alert enthusiastic pfizerbiontech covidvaccine,0.3444444444,Positive
delighted get first shot pfizerbiontech covid19 vaccine uhw_waterford thanks curtis,0.3833333333,Positive
second dose pfizerbiontech vaccine side effect yet vaccination save wor,0,Neutral
video dubai book appointment pfizervaccine gulf_news covid19vaccineqs,0,Neutral
received first dose pfizerbiontech vaccine grateful vaccineswork pfizerbiontech,0.25,Positive
guess us state made vaccination numbers available vaccinetracker,0.4,Positive
greece covid19 vaccines 154 million people pfizerbiontech 427050 january 362700 february 558675 marc,0,Neutral
grateful received doses pfizerbiontech covid19vaccine team pictonpcn amaz,0,Neutral
course took shitty vid like normal flu jab felt tired 10 mins inj,-0.125,Negative
first vaccine covid19 yesterday front line worker thankful nhs covidvaccination pfizerbiontech,0.25,Positive
covid19 vaccine rollout underway dont lose hope news pfizerbiontech delay moderna vaccin,0,Neutral
side effects socalled cure harmful virus moderna pfizerbiontech,0,Neutral
got jabbed today may straight night shift itll worth long run savelives,0.15,Positive
health skyriakideseu reminds member states commitments eu vaccine strategy,0,Neutral
vaccines laying corner pfizer moderna factory still waiting people die unt,0,Neutral
thankfully seem finally tother side post vax response would still get without hesitation,0,Neutral
philipbejon ive read pfizerbiontech modernavaccine great preventing severity neces,0.8,Positive
dr amal bint saif almaani change effectiveness pfizerbiontech vaccine due cov,-0.125,Negative
marks historic shift direction countrys fight covid19 mashablesea thephilippines,0,Neutral
johnson amp johnson launch singleshot coronavirus vaccine march 2021 covid19 astrazeneca pfizerbiontech modernavaccine,0,Neutral
two care home residents norway reportedly died days taking new pfizerbiontech covid19 vaccine,0.1363636364,Positive
approval comes country hopes inoculate twothirds population year fmtnews,0,Neutral
24 hours post first dose pfizerbiontech covidvaccine feel good injection site still mildl,0.475,Positive
phillippines approves pfizerbiontech vaccine becoming third country south east asia approve va,0.225,Positive
well get groceries vaccines asda coviduk pfizer covidvaccine asdavaccine,0,Neutral
breaking news food drug administration fda philippines approves emergency use authorization eua pf,0,Neutral
time finish building rest spike proteins 22 covidvaccinated pfizerbiontech,0,Neutral
grateful job w virginiamason made eligible receive 1st dose pfizerbiontech covid19 vaccine,0,Neutral
thanks vaccines 1amp2 pfizer pfizerbiontech covid19 covidvaccine herdimmunity,0.2,Positive
vaccines actually work brief overview without many technical terms,0.125,Positive
time reevaluate data available vaccinationcovid especially pfizerbiontech people guinea,0.2,Positive
dose 2 board still grateful innovation feeling sad continuing loss lives globally hopeful f,-0.25,Negative
bigdogodiablo minvws important question research seems covid_19 dangerous neurological dise,-0.1,Negative
happened nurse tiffany dover tiffany dover nurse collapsed tv event chi memorial ho,0,Neutral
ctvnews suing quebec government unclear trudeau national committees recommendations,0,Neutral
13012021 vday vday covidvacccine covid_19 pfizer pfizerbiontech,0,Neutral
slight hugely important clarification know pfizerbiontech data hence ca,0.1166666667,Positive
first shot wish could give parents gift pfizerbiontech,0.25,Positive
proud announce january 5th 12th jackson administered 16215 first doses,0.525,Positive
may interaction influenza vaccine covid19 vaccine medications treat cancer,0,Neutral
dan albas lack vaccine supply causing difficult choices bcpoli cdnpoli bchealth,-0.5,Negative
uscovid vaccine 2 would thought would taking selfie bandage please,0,Neutral
main differences similarities oxfordvaccine pfizerbiontech vaccine,0.1666666667,Positive
well well matthancock slippery snake country gon na end loads half vaccinated citizens ju,-0.1666666667,Negative
cbcpolitics interesting though group long term care home suing province quebec ar,0.225,Positive
heres context strongly recommend covid19 vaccination despite emergency use authorizations eua,0.4333333333,Positive
independentsage gabrielscally chrischirp answer thisall agree vital vaccine efficient 1,0.1,Positive
slides put together side effects pfizerbiontech covidvaccine,0,Neutral
pfizer pfizerbiontech pfe stockstobuy stocktowatch nice moment buy,0.6,Positive
tonight brief vaccinationparty via zoom parents 1st pfizerbiontech jab today,0,Neutral
got first pfizerbiontech covid19 vaccine injection today ready epipen needed anaphylaxis,0.225,Positive
got pfizer vaccine today covidvaccination covidvaccine covid covid19 pfizerbiontech,0,Neutral
great welcome first care home todayhomemade scones yummy team2 covidvaccine pfizervaccine,0.6166666667,Positive
vaccine 2 complete super grateful opportunity protect patients,0.2166666667,Positive
vaccinating elderly patients thornton cleveleys today everyone grateful nhs,0,Neutral
impressed professional service qehb covid vaccination hub covidvaccination qehbham thercn,0.55,Positive
today got vaccinated vaccinated pfizerbiontech covidvaccination covidvaccines vaccineswork nelft bhrut_nhs,0,Neutral
thanks staff fgh uhmbt seamless experience didnt even feel covidvaccination pfizerbiontech,0.15,Positive
48 hours since second pfizerbiontech vaccine side effects please get offered,0,Neutral
heres nice piece explains know two vaccines enjoy fun analogies,0.4333333333,Positive
huge sigh relief today receive pfizerbiontech dose 2 igottheshot thankyouscience jhmccovidvaccine,0.4,Positive
mums first pfizerbiontech shot kinda relieved kinda weird place covidvaccination coviduk,-0.125,Negative
2nd dose rolling 2021 like queen covidvaccine pfizerbiontech,0,Neutral
bbcferguswalsh sovital vaccine efficient please bbcferguswalsh independentsage cmo_england,0,Neutral
villas cmo avi lev got vaccine get wecanendthis getvaccinated villa,0,Neutral
received part 1 pfizer vaccine today ill never get lost woods thanks new government,-0.05454545455,Negative
people often call things impossible simply never seen pfizerbiontech covid_19 stopcovid,-0.3333333333,Negative
bbclaurak world beating laura amp gov fully responsible every single decision either late wron,-0.05714285714,Negative
aampe nurse tested positive coronavirus month first vaccine dose days,0.2386363636,Positive
got 1st dose pfizerbiontech vaccine,0,Neutral
vaccination 1 second vaccinationwaiting get vaccinations done get back normali,0,Neutral
vaccine refrigerators health minister gmanastirliu store 250000 pfizerbiontech jabs,0,Neutral
watching medtwitter get covidvaccination given lots hope today got experience hope fir,0,Neutral
feeling lucky right pfizerbiontech,0.3095238095,Positive
journorequest know frontline healthcare worker manchester hospital concernedc,0,Neutral
lucky enough receive first dose pfizerbiontech covid vaccine yesterday massive thanks,0.1566666667,Positive
human rights watch claim iranian authorities ban covid19 vaccines made uk france us,0,Neutral
grateful safetynetpc arranging covid vaccine matertrauma today felt surreal back hospit,0.125,Positive
level second covid vaccine dose complete thanks science baptisthealthsa vaccineswork pfizerbiontech,0.1,Positive
dads taken second dose vaccine today coronavirus pfizer covidvaccination pfizerbiontech vaccine covidvaccine,0,Neutral
fordnation really like new unofficial portrait doug cdnpoli covidiots pfizerbiontech endthelockdowns,0.1681818182,Positive
first dose installation complete next software update 21 days covid19vaccine pfizerbiontech microchip,0.1166666667,Positive
48 hours post covidvaccination id none wiser pfizerbiontech,0,Neutral
pfizerbiontech moderna comparison two vaccines covid already available czech repub,0.4,Positive
valy_s mafaldina61 dalle pieghe del web cioè dal bmj escono cose interessanti sulla fase 3 del vaccino,0,Neutral
got first dose pfizerbiontech vaccine unfortunately deltoid little shy event,-0.234375,Negative
laboratory tests shown pfizerbiontech vaccine effective 16 covid variants including key,0.3,Positive
imho wrong decision withhold 21 day 2nd covidvaccination vaccine dose patient facing sup,-0.25,Negative
thank science first dose covid19vaccine pfizerbiontech,0.25,Positive
pollymcmeekin yorkteachingnhs got vaccine yesterday happened friend vaccinated fee,0,Neutral
thanks uhd_nhs including bank staff super fast efficient vaccination programme first jab fine il,0.28,Positive
robh411 doctorchrisvt biology degree amp studied virology amp genetics one claim 12 wks apart,0,Neutral
figures correct unacceptable point find someone blame correct,0,Neutral
correction astrazeneca back uk govts approach extended dosage period covidvaccination today,0,Neutral
paulwaugh borisjohnson oh good perhaps theyll time properly ie 21 28 days apart,0.35,Positive
thankful memorialhermann tirrmh second covidvaccination pfizerbiontech 6feet,0,Neutral
graz_jakomini supposed 2128 days gov want build numbers people vaccinated,0,Neutral
adrianm_ogy alisonmawright bullshitbingo ugur sahin bs stop lying amp telling fairy tales talke,0,Neutral
bullshitbingo ugur sahin bs stop lying amp telling fairy tales talke pfizercovidvaccine,0,Neutral
10downingstreet bbcferguswalsh paulbranditv independentsage cmo_england enoughwe need answershave,0,Neutral
gwalkerpoole1 uhd_nhs thercn rcnsouthwest rcnstudents rcnnqn sadly mum expected 2nd today getti,-0.2,Negative
22 last 20 years far think back single medicinal compound approved,0.007142857143,Positive
10downingstreet bbcferguswalsh paulbranditv tobias_ellwood enoughwe need answershave pfizerbiontech writtenamp,0,Neutral
bad news emerging tonight regarding covid vaccine supplies extremely low nearly running ou,-0.2,Negative
marketing ploy numbers exaggerated make gain control profit cause divide thin,-0.45,Negative
might covidvaccinations expire theyre even used ljmu supply chain expert sarah schiffling looks bottl,0,Neutral
139 million people actually first dose vaccine injected arm february 15th,0.25,Positive
experts including turner cited data showing astrazeneca jab 62 efficacy compared 90,0,Neutral
seven residents maimonides geriatrics centre côte saintluc received first dose,0.25,Positive
ive done uhnm_nhs covidvaccine pfizervaccine pfizerbiontech inthistogether,0,Neutral
pfizer investigates doctors postvaccine death possible connection pfizer covid19 coronavirusupdates,0,Neutral
happy receive 1st dose pfizerbiontech vaccine thanks uni unicatt quickly offered vaccinatio,0.4444444444,Positive
took first dose pfizerbiontech vaccine yesterday also dose hope things get ba,0.25,Positive
enthusiastic finish great success community vaccination center uk pfizerbiontech,0.4,Positive
documents relating covid19 vaccine ema allegedly leaked darkweb,-0.1,Negative
finally 2 cancelled appointments boy vaccinated pfizerbiontech,0,Neutral
good joan bakewell covidvaccine pfizerbiontech 21daysnot12weeks,0.7,Positive
dears idea person travel abroad 1st jab return back 23 weeks 2nd jab covidvaccine pfizerbiontech,0,Neutral
finally got first dose like also skeptical first got ta trust magic scienc,0.1,Positive
first vaccine dose today grateful small part hopeful better future pfizerbiontech,0.125,Positive
vaccination chronicles 1 dec 16 2020 pfizerbiontech dose 1 sore arm 15 days 2 jan 5 2021 dose 2 mi,0,Neutral
might help michealmartintd put strategy place prevent unnecessary loss vunerable p,-0.4,Negative
first vaccine done pain dead arm feeling amp probably feeling crappy days im ok,0.1833333333,Positive
pfizerbiontechmade vaccine may effective transmissible covid19uk variant according,0.6,Positive
swearing bible upside crossescovid19 inaugurationday americaortrump coviduk,0,Neutral
pfizercovidvaccine failure 12400 people israel tested positive coronavirus,-0.0446969697,Negative
jab 1 done hope everyone soon gets amazing feeling hope prepared days feeling ill,0.05,Positive
pfizerbiontech cdc probing death florida doctor took covid19 vaccine,0,Neutral
jassimalseddiqi one sinopharm pfizerbiontech,0,Neutral
murraymack4 markboustead lorrain00414525 nurses refuse inject moderna covidvaccine studied 45 ppl,0,Neutral
55 people us died receiving vaccine covid19 according reports submitted federal,0,Neutral
careful people lives depends twentythree people died norway within days receiving first,0.075,Positive
norway says risks covid19 vaccinations may risky old terminally sick afte,-0.3071428571,Negative
first vaccine received morning relieved emotional delighted roll 21 days second covidvaccine pfizerbiontech hope,0.2375,Positive
side effects felt 8 hrs later tenderness amp swelling injected muscle fatigue arm muscle pain,0,Neutral
qualified experienced administering vaccines vaccinate nation mandate waived liability,0.8,Positive
norway warns covid19 vaccines may risky old amp terminally sick 23 people die shortly thei,-0.2047619048,Negative
heard dont post social media youre actually vaccinated something bill gates,0.01666666667,Positive
pehle aap first covid19 india pandemic quarantine jobloss lockdown unlock goa tourism tourists,0.25,Positive
breaking virginmedianews understands dose interval pfizerbiontech covidvaccine due change 2,-0.125,Negative
covid19 vaccine side effects particularly monitors pfizerbiontech one available netherlands,0.2833333333,Positive
staff received first dose covid 19 vaccine week thank amazing team,0.425,Positive
got jab 1st dose pfizerbiontech vaccine vs covid19 superpowers yet still hoping 2nd,0,Neutral
anyone else shattered time since pfizerbiontech pfizervaccine pfizercovidvaccine vaccineuk,0,Neutral
waiting pfizerbiontech second dose 20 days feeling grateful part history,0,Neutral
covid19 pfizerbiontech vaccine done,0,Neutral
thecelticmedic got mine day pfizerbiontech side effects mildly sore arm buckets gratitude,0.3333333333,Positive
got pfizerbiontech vaccine go round leukemia ward,-0.2,Negative
ccps vaccine diplomacy failure brazilian study reveals real truthbrazil drharshvardhan drsjaishankar,-0.05833333333,Negative
hackread leaked vaccine data circulating hacker forums including russianspeaking ones,0,Neutral
today got vaccine hbellvitge little bit tired 24h call happy covidvaccination,0.07083333333,Positive
say science world never let findings interfere funding monsanto,0,Neutral
23 people norway died receiving pfizerbiontech covid19 vaccine norwegian medicines agenc,0,Neutral
lets irradiate lets preserve life lets claim normality vaccinate vaccinessavelives vaccineresearch,0,Neutral
hungary received 129860 doses pfizerbiontech moderna vaccines eu vaccinated 96,0,Neutral
definitely taking vaccine go scream lungs want pfizer astrazeneca sinovac,0,Neutral
pfizerbiontech pfizercovidvaccine covid_19 vaccine find brant griner fb wan na hear,-0.2,Negative
covidvaccine symptoms sister getting pfizer covid vaccine 2021 pfizervaccine,0,Neutral
heyhey covidvacccine update check ig fb story covidround2 pfizer,0,Neutral
nstnation registration covid19 vaccination malaysians opened soon health minister datuk seri dr,0,Neutral
johns hopkins scientist medical certainty pfizer vaccine caused death florida doctor,0,Neutral
fatal itp idiopathic thrombocytopenic purpura 56yo obgyn dies stroke emergency splenectomy,0,Neutral
apic completed two doses covid vaccine igottheshot pfizerbiontech weloveourips,0,Neutral
youre relatively healthy frontliner 60 youll wait mashablesea malaysia vaccine,0.5,Positive
getting vaccine tomorrow little scary must done kickcoronasarse pfizerbiontech,-0.34375,Negative
deborahmeaden borisjohnsons first jab 10 million people next four weeks wont extend,0.125,Positive
happened covidvaccine pfizerbiontech igotmyvaccineatuhn uhn,0,Neutral
thursdaythoughts sp second dose wow definitely knocked feet interesting variability,0.15,Positive
source pfizer vaccine pfizerbiontech,0,Neutral
yay first dose vaccination thank singaporeglenegales hospital free vaccine pfizerbiontech,0.325,Positive
chinese invent virus turks invent vaccine fact pfizerbiontech biontech ugursahin,0,Neutral
hackers leak stolen pfizer covid19 vaccine data online pfizerbiontech pfizercovid19vaccine,0,Neutral
sleeves today yemassee police officers privilege receiving first dose,0.25,Positive
pfizer vaccine trials used 2 doses 2nd shot given 34 weeks 1st jab get 95 protection uk gives 2nd sho,0,Neutral
entering phase 4 update pfizer approved philippine fda 1142021 kindly read link,0.6,Positive
23 norvegia 10 germania coronavirus vaccino pfizerbiontech,0,Neutral
got second dose today covidvaccine pfizerbiontech pfizervaccine,0,Neutral
first covid vaccine done covidvaccine2021 pfizerbiontech covid19 ysbytyenfys llandudno betsicadwaladr e,0.25,Positive
leaked vaccine data circulating hacker forums including russianspeaking ones,0,Neutral
englewood health healthcareheroes vaccinated community heroes today protecting firstresponders,0,Neutral
yawnikova darshandorsey trvrb old yeller dude take look tweets within last 24 hours amp see,0.05,Positive
data relating pfizerbiontech covid19 vaccine stolen december 2020 following cyberattack unspecifie,0,Neutral
reassuring discussion rte_primetime kingstonmills vaccines covidー19 mutations mrna pfizerbiontech,0,Neutral
working care pandemic ive finally pfizervaccine thankful grateful,0,Neutral
take vaccine say pfizer sinovac covidvaccine pfizerbiontech covid19insa effpresser,0,Neutral
got first dose pfizerbiontech vaccine amp feel great history anaphylaxis wear,0.525,Positive
revsarah1 volunteering today irish centre coviduk vaccinationcovid pfizerbiontech,0,Neutral
one dose one go covid19 vaccine pfizerbiontech thank frontline workers everyone,0,Neutral
lucky enough gain super powers today possibly postnights delirium spent day smiling impre,0.1133333333,Positive
great tools advice pregnant women healthcare providers pfizerbiontech vaccine pregn,0.5666666667,Positive
great see acceleration covidvaccination across cwmtafmorgannwg team,0.8,Positive
wasnt sure would happen student im moon intmedicineawesome,0.5,Positive
weve waiting patiently week vaccine arrive thrilled early morning see,0.35,Positive
daily news briefing concerns australian scientists vaccine effectiveness astrazeneca suggest pfizer,0,Neutral
mysterysolvent received 2nd dose yesterday pfizerbiontech kalamazoorepresent,0,Neutral
mrna covidー19 vaccineswork 2 doses needed 2nd dose necessary thisqampa explains,0,Neutral
wonder band aid ill get johnson johnson vaccine help erection got pfizer dose,-0.5,Negative
decisions nhsengland prioritise nhs workers covidvaccine amp deny timely 2nd dose,0,Neutral
albd1971 govt secured 30 million doses coronavaccine serum 68 million shots covax furt,0,Neutral
12 hours get pfizerbiontech vaccine,0,Neutral
feeling bit proud community pharmacy today vaccine vaccinationcovid astrazeneca pfizerbiontech covidー19,0.8,Positive
mrna vaccine covidvaccine mrna pfizerbiontech,0,Neutral
getting covid vaccine 1st dose covidvaccine pfizerbiontech,0,Neutral
got pfizer covid19 vaccine today toodaloo pfizerbiontech covidvaccine,0,Neutral
proudly vaccinated gp surgery worked restlessly get hub ground done protect,0.8,Positive
simple explanation mrna vaccines pfizerbiontech moderna work covid19 covidvaccine,0,Neutral
side effects vaccine feeling great covidvaccine pfizerbiontech,0.8,Positive
2nd vaccine done thank halfordkathryn didnt feel thing pfizerbiontech covidvaccine,0,Neutral
22 pfizer vaccine done fatigue ha chills 24 hours post vaccine 1st dose well see,0,Neutral
pfizerbiontech vaccine iran moderna vaccine iran,0,Neutral
three national lockdowns numerous attempts tiered restriction system fair say st,0.35,Positive
1st dose covidvaccine pfizerbiontech,0,Neutral
leaked vaccine data circulating hacker forums including russianspeaking ones ak4s,0,Neutral
never taken flu shot yet feeling privliged take pfizerbiontech covidvacccine praying,0,Neutral
first dose today second due april pfizerbiontech covidvaccine bookyourvaccine,0.04166666667,Positive
got covid vaccine today vaccine pfizerbiontech coronavaccine,0,Neutral
read pfizervaccine hack pfizerbiontech coronavirus,0,Neutral
shared parents given pfizerbiontech vaccine today great government gamble,0.8,Positive
one downone go thank pfizerinc nhsengland covidvaccinated pfizerbiontech protectthenhs northern,0,Neutral
vaccinated thank leic_hospital pfizerbiontech vaccination,0,Neutral
got mine today prevention always better cure get vaccine covidvaccine prevention,0.5,Positive
today dad first covid19 pfizerbiontech vaccination staff bousfield surgery,0.25,Positive
zsuzsanna francia daughter biontech biochemist katalin karikó twotime olympic gold medalist rowing,0,Neutral
protection efficacy need clarified antibodies need neutralizing must induce antibody,0,Neutral
covid19canada covidvaccine pfizerbiontech highlighting worries quebec people already,0,Neutral
pakistan wait jampj vaccine one dose cheap easy store transport jampj publish 3rd phas,0.2777777778,Positive
pfizerbiontech vaccine cuts risk covid19 infection 50 percent 14 days first two,0.25,Positive
president erdogan gets covid19 vaccine within ongoing successful vaccination program 254 thousand healthca,0.75,Positive
got covid19 vaccine covidvaccine pfizerbiontech trustingscience,0,Neutral
apparently vaccine works theres selfie prove got beyond grateful pfizerbiontech,0.05,Positive
received new shipment 88725 pfizerbiontech vaccines destined regions atacama arica ant,0.1363636364,Positive
received 2nd dose pfizer covidvaccine days ago severe adverse reactions da,0,Neutral
know someone know fence receiving one approved covid19 vaccines maybe,0,Neutral
got 2nd dose pfizerbiontech morning smooth procedure thanks nurses assigned,0.2,Positive
scc_eng hope late vaccineinjuries amp deaths caused pfizerbiontech covidvaccine pg,-0.3,Negative
101 year old bridget biddy connolly meanus co limerick first resident st itas community nursing u,0.175,Positive
4000 counting manchesterhcc pfizerbiontech cheetcrumpint val_bb,0,Neutral
emmakennytv phe_uk apart oxfordvaccine moderna pfizerbiontech forms gene therapy,0,Neutral
second covid vaccine 14 hours ago pfizer side effects far different first vaccine sore,0.0875,Positive
covid19 vaccine uae everything know far watch full video gulf_news,0.225,Positive
10 death pfizerbiontech vaccine,0,Neutral
covid19 impfung impfungen covidー19 corona coronaimpfung biontech pfizer pfizerbiontech bayern bavaria,0,Neutral
great part covid19 vaccination team rveeh still long way go covidvaccine,0.375,Positive
dr piot says already received first shot pfizerbiontech vaccine said fine happy,0.4888888889,Positive
update 1 24 hrs later arm super sore injection site ive developed achy muscle pain along,0.1444444444,Positive
didnt feel thing although since lost sticker covid_19 covidvacccine 2021 sticker,0,Neutral
got covidvaccine today thank nelft bhrut_nhs organised efficient experience th,0,Neutral
even get covid vaccine didnt take photo covidvaccine pfizerbiontech covid19,0,Neutral
clinical colleagues infectious diseases unispital_usz treat covid19 patients started get,0,Neutral
done covidvaccine pfizerbiontech pfizercovidvaccine,0,Neutral
vaccinated covid19 pfizerbiontech,0,Neutral
first dose pfizerbiontech vaccine feeling grateful ihavebeenvaccinated,0.25,Positive
andalucia start vaccinating 80s living community next week elderly care homes al,0,Neutral
first pfizer covid 19 vaccine dose done proud pfizerbiontech covidvaccine,0.525,Positive
healthy doctor died two weeks getting covid19 vaccine cdc investigating vaccine,0.5,Positive
day 21 post covid19 vaccination 2nd jab due today cancelled amp postponed good result,0.1916666667,Positive
pfizerbiontech idiot bbchughpym asks whether bma concerns wider medical support real issue,-0.2,Negative
second shot covid vacciné 2 weeks ago gratitude vaccination pfizerbiontech,0,Neutral
new jab hallelujah pfizerbiontech pfizer,0.1363636364,Positive
hey everyone ill like know positive negative reaction pfizerbiontech astrazeneca vaccines,-0.1909090909,Negative
citizen beautiful city world kanpur one serious question guru vaccine lagane k,0.2583333333,Positive
true covaxin efficacy unknown trials complete likely around 50 based,0.0875,Positive
norway launched detailed investigation 23 elderly patients died taking pfizerbiontech mrna,0.4,Positive
horror breakingnews 23 people die norway receiving pfizer covid19 vaccine officials doctors th,0,Neutral
variety genes planet viruses exceeds likely exceed rest life com,0,Neutral
human life virus socialdistancing virus coivd19 coronavirus humanlife,0,Neutral
80 elderly population israel got first shot covid19 covidioten covid covid_19,0.25,Positive
faqs coronavirus covid 19 vaccine vaccineforindia covid coronavirus,0,Neutral
shot 1 think legally obligated post pic otherwise wont work covidvaccine,0.2,Positive
meanwhile pfizerbiontech covid19 vaccine also causing death portuguese healthworkers think ill try,-0.5,Negative
thx civil servants cityoftoronto teamvaccine torontos hospitals residents essential care givers,0,Neutral
anyone ireland anywhere else thinking receiving pfizerbiontech covid19 vaccine consider th,0,Neutral
global coronavirusvaccine rollout suffered major blow friday pfizer said would delay shipments j,0.03125,Positive
im question safety pfizerbiontech someone mother ltc home whos,0,Neutral
thisisourshot 2nd vaccine pfizer pfizerbiontech thank,0,Neutral
friday night fillin charlesadler includes huge induction un champion impoverished,0.4,Positive
vaccination day covid19ontario pfizerbiontech covidvaccine,0,Neutral
addition singledose advantage pfizerbiontech amp moderna vaccines jandjvaccine,0,Neutral
aint thang like second dose covid vaccine multiplesclerosis pfizerbiontech covidvaccine,0,Neutral
118 active covid19 cases central island region decrease six since yesterday,-0.06666666667,Negative
whole family locality received pfizerbiontech oxford astrazeneca mashallah stable awaiting 2nd one,0.1,Positive
pfizerbiontech covidvaccine 52 per cent effective first dose second dose drags ef,0.2833333333,Positive
turkeys death toll covid19 reaches 23664 drfahrettinkoca coronavac turkey sinovac pfizerbiontech,0,Neutral
exposing vulnerable elderly people vaccine whose side effects adequate time,-0.08333333333,Negative
delighted received first covidvaccine today hope beginning able return,0.4833333333,Positive
two days post pfizerbiontech dose 2 yesterday experienced arm tenderness headache fatigue requiring,0.8,Positive
completed dose pfizerbiontech covid vaccine tues felt good enough continue rounding ama,0.35,Positive
theage great work victorian government secure proven pfizerbiontech vaccine federal gov,0.6,Positive
pt 1 moderna pfizer vaccine biologic aka gene therapy nurses,0,Neutral
norway warns covid19 vaccination risks sick patients 80 officials say side effects may contribu,-0.7142857143,Negative
2 million deaths worldwide coronavirus covid19 pfizerbiontech breaking,0,Neutral
1st pfizer vaccine feeling lucky well organisedvaccine pfizerbiontech covidvaccine coviduk doingmybit,0.3333333333,Positive
89 year old nan achieved two things today shes setup memoji shes first covid19 vaccinatio,0.175,Positive
sciencefeedback healthfeedback isnt norway europe pfizer pfizerbiontech vaccine,0,Neutral
joemartin66 first dose pfizerbiontech last friday,0.125,Positive
brilliant news signals commencement mainstream vaccination rollout welldone dedicated,0.9,Positive
enough raw material produce pfizerbiontech moderna vaccines limited,-0.1007326007,Negative
48 hours second covid vaccination arm little sore thats side effects far time,-0.02916666667,Negative
anyone know effect typos efficacy figure since frameshift nonsense variant,0,Neutral
result hacks around new year anonymous publishes confidential data emails pfizerbiontech v,0.1363636364,Positive
skynewsbreak inoculated vaccinated inoculated vaccinated innoculated vaccinated coronavaccine,0,Neutral
fist shot pfizerbiontech covidvaccine stayhomesavelives savenhs,0,Neutral
statement socialist party national response covid19 pandemic,0,Neutral
vonderleyen lets get things clear pfizerbiontech moderna covid19 products legally vaccines,0.15,Positive
23 dead norway taking pfizers covid19 vaccine pfizerbiontech pfizercovidvaccine,-0.2,Negative
updated fair warning majority mainstream media amp pro immunitypassports individuals give,0.7,Positive
anonymous following december cyberattack aem find lot confidential data emails,0,Neutral
amazing volunteers cheetcrumpint team working vaccination centre week manchesterhcc,0.6,Positive
would great israeli department health would review data get back us asap,0.4,Positive
adamgayoso horrendous total mismanagement zero organization making elderly wait hours end sun,0,Neutral
coronavirus iran reports 6485 new cases 83 deaths last 24 hours iran corona sinovac pfizerbiontech,0.06818181818,Positive
i_matovic vonderleyen dear i_matovic slovakia order additional vaccines fro pfizerbiontech part,0,Neutral
joemartin66 1st dose pfizerbiontech 9 days ago due work 2nd one 9 weeks later im,-0.04166666667,Negative
singing repeat slight post vaccine arm ache run feeling hits get work immune system,-0.1666666667,Negative
ive pfizerbiontech vaccine injection site bleed amp bruise boy body reacted vacci,0,Neutral
cyprus confirmed pfizerbiontech temporarily cut deliveries europe covid19 vaccine next delivery,0.2,Positive
always emotional older relative finally gets call vaccine good kind shot 1 2,0.2444444444,Positive
bbcferguswalsh fergus think could research deaths taken pfizerbiontech v,0,Neutral
knutmoe delighted u hope pfizerbiontech announcement today wont delay 2nd dose,0.35,Positive
pfizerbiontech slowdown saskatchewan premier scott expresses concern urges approval,0,Neutral
arent scummedia asking possible delay pfizerbiontech vaccine manufacturer,0,Neutral
second dose completed pfizerbiontech vaccination covidvaccine,0,Neutral
day proud redeployed support pfizerbiontech delivery working amazing eshtnhs staff,0.7,Positive
uk government may thought single dose policy worry many us may waiting tim,0.2142857143,Positive
going see pictures indian prime minister taking covid vaccine tomorrow launch va,0,Neutral
increasing production pfizerbiontech vaccines welcome step numbers small vaccin,0.275,Positive
